experiment,mode,timestamp,context_relevance,groundedness,answer_relevance,rag_triad_composite,avg_latency_ms,num_questions,num_errors
01_baseline,blended,2026-03-18 15:05:27,0.5833,0.9861,0.9556,0.8192,8756.4000,15,0
01_baseline,corpus,2026-03-18 14:47:44,0.5555,0.9463,0.6222,0.6890,5328.3000,15,0
02_optimized_html_parser,blended,2026-03-18 15:44:09,0.5833,0.9926,0.9333,0.8145,9267.5000,15,0
02_optimized_html_parser,corpus,2026-03-18 15:24:41,0.5644,0.9852,0.6667,0.7184,5521.5000,15,0
03_optimized_MIN_TEXT_LENGTH,blended,2026-03-18 16:38:37,0.5500,0.9911,0.8000,0.7583,8897.1000,15,0
03_optimized_MIN_TEXT_LENGTH,corpus,2026-03-18 16:19:36,0.5644,0.9852,0.6444,0.7103,5637.0000,15,0
04_retrieval_weights,blended,2026-03-18 17:15:48,0.5889,0.9802,0.9778,0.8264,9449.7000,15,0
04_retrieval_weights,corpus,2026-03-18 16:54:38,0.5644,0.9507,0.6667,0.7099,5579.9000,15,0
05_quality_filter,blended,2026-03-18 17:59:35,0.5889,0.9873,0.8667,0.7958,9165.5000,15,0
05_quality_filter,corpus,2026-03-18 17:40:22,0.5778,0.9767,0.7778,0.7600,5719.0000,15,0
06_sentence_window,blended,2026-03-18 19:35:40,0.4963,0.9622,0.9111,0.7577,9004.4000,15,0
06_sentence_window,corpus,2026-03-18 19:17:32,0.4478,0.9433,0.4889,0.5911,5214.5000,15,0
07_prompt_engineering,blended,2026-03-18 20:46:17,0.5750,0.9862,0.6889,0.7310,8752.4000,15,0
07_prompt_engineering,corpus,2026-03-18 20:29:34,0.5778,0.9760,0.6222,0.7053,6175.9000,15,0
09_sw_min_sent_80,blended,2026-03-18 21:48:02,0.4925,0.9276,0.9556,0.7586,10030.2000,15,0
09_sw_min_sent_80,corpus,2026-03-18 21:17:55,0.4267,0.9222,0.5556,0.6024,6420.9000,15,0
10_quality_filter_MinTxt500_RetrWeights,corpus,2026-03-18 22:21:56,0.5689,0.9760,0.6444,0.7099,6309.8000,15,0
11_larger_reranker,blended,2026-03-18 22:55:47,0.5250,0.9926,0.6667,0.7030,9237.7000,15,0
11_larger_reranker,corpus,2026-03-18 22:39:28,0.5422,0.9889,0.6889,0.7175,6369.4000,15,0
